id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
0001,'Clotel' by William Wells Brown: An Electronic Scholarly Edition,https://web.archive.org/web/20120208114310/http://rotunda.upress.virginia.edu:8080/clotel/,"Ed. by Christopher Mulvey. Charlottesville (VA): The University of Virginia Press, 2006.",2006,no,yes,,,,,,,,
0002,“… gantz unvergleichlich …” - Ernst Samuel Jacob Borchwards Reise ins Potsdam Friedrichs des Großen 1749,http://quellen-perspectivia.net/de/borchward/start,"Bearbeitet von Rashid-S. Pegah und Carsten Dilba. Potsdam: Stiftung Preußische Schlösser / Gärten Berlin-Brandenburg, 2015.",2015,no,yes,,,,,,,,
0003,"""A black diamond among thim American wifes"": Kate Edwards Swayze’s Antislavery Adaptation of George Colman’s Inkle and Yarico",https://www.scholarlyediting.org/2015/editions/intro.swayzedrama.html,"Ed. by Laura L. Mielke and Martha Baldwin. Kansas: University of Kansas, 2015.",2015,no,yes,,,,,,,,
0004,"""En el ojo del huracán"": Cartas de Ultramar a España, 1823 - Edición digital",http://cards-fly.clul.ul.pt/teitok/ultramar/,"Konzeptiontiert von Werner Stangl. Graz: Karl-Franzens-Universität Graz, Institut für Geschichte, 2014-.",2014,no,yes,,,,,,,,
0005,"""Fräulein Else"" multimedial - Arthur Schnitzlers Novelle und ihre Adaptionen (1923-2013)",http://www.else.uni-wuppertal.de/index.html,"Konzept und Leitung Ursula von Keitz und Wolfgang Lukas, medientechnische Betreuung Fabian Etling. Wuppertal: Bergische Universität Wuppertal, 2017.",2017,no,yes,,,,,,,,
0006,"""Lettres des Grisons"": Wissenschaft, Religion und Diplomatie in der Korrespondenz von Johann Jakob Scheuchzer. Eine Edition ausgewählter Schweizer Briefe (1695–1731)",https://republique-des-lettres.ch/edition/scheuchzer-korrespondenz,"Ed. von Simona Boscani Leoni. Bern: République des Lettres, 2019.",2019,no,yes,,,,,,,,
0007,« DigiLivres » : Bernard PALISSY - « Discours Admirables... »,http://web.archive.org/web/20080405110201/http://homepage.mac.com/guyjacqu/palissy.html,Guy Jacquesson [Guy de Pernon]. s.l.: 2002.,2002,no,yes,,,,,,,,
0008,« DigiLivres » : LANCELOT (Chrétien de Troyes: Le Chevalier de la Charette),http://web.archive.org/web/20080415015129/http://homepage.mac.com/guyjacqu/lancelot.html,"""Edition intégrale et synoptique des 8 Mss connus"". Guy Jacquesson [Guy de Pernon]. s.l.: 2002.",2002,no,yes,,,,,,,,
0009,[Das Kundige Bok] Göttinger Statuten im 15. Jahrhundert,https://web.archive.org/web/20180308065412/http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,"Hg. von Malte Rehbein. Göttingen: Stadtarchiv Göttingen, 2010.",2010,no,yes,,,,,,,,
0010,[Theodore] Dreiser Web Source,https://web.archive.org/web/20191024001213/http://www.library.upenn.edu/collections/rbm/dreiser/,"Ed. by Thomas P. Riggio et. al. Philadelphia (PA): University of Pennsylvania Library, 2002-2010.",2002,no,yes,,,,,,,,
0011,[Walt Whitman:] Crossing Brookly Ferry,http://msr-archives.rutgers.edu/CBF/,"Created by Jesse Merandy. Mickel Street Review 19/20, 2008.",2008,no,yes,,,,,,,,
0012,"*Hortus sanitatis* : Livre IV, *Les Poissons*",https://www.unicaen.fr/puc/sources/depiscibus/,"Édité par Catherine Jacquemard, Brigitte Gauvin et Marie-Agnès Lucas-Avenel, avec la collaboration de Caroline Février et Françoise Lecocq. Caen: Presses universitaires de Caen, 2013.",2013,no,yes,,,,,,,,
0013,*La nature des dieux* Cicéron,https://www.unicaen.fr/puc/sources/ciceron/accueil.html,"Édité par Clara Auvray-Assayas. Caen: Presses universitaires de Caen, 2019.",2019,no,yes,,,,,,,,
0014,100 Ballads,https://www.100ballads.org/,"Christopher Marsh and Angela McShane. Belfast: The Queen’s University of Belfast, 2024.",2024,no,yes,,,,,,,,
0015,1641 Depositions,http://1641.tcd.ie/,"Jane Ohlmeyer, Thomas Bartlett, Dr Micheál Ó Siochrú and John Morrill (principal investigators), Aidan Clarke (transcriptions). Dublin: Trinity College, 2007-2010.",2007,no,yes,,,,,,,,
0016,A Comprehensive Edition of Tocharian Manuscripts,http://www.univie.ac.at/tocharian/,"Principal investigator Melanie Malzahn. Vienna: University of Vienna, 2011-.",2011,yes,yes,247,no,no,yes,Middle Ages,XTO,yes,no
0017,A critical edition of the poetry of Dafydd ap Gwilym,http://www.dafyddapgwilym.net/,"Ed. by Dafydd Johnston et al. Swansea: Swansea University, 2007.",2007,yes,yes,3,yes,no,yes,Middle Ages,WEL,yes,no
0018,"A Description of the Valley of Chamouni, in Savoy. By Samuel Glover",https://romantic-circles.org/editions/chamouni/index.html,"Ed. by Cian Duffy. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2018.",2018,no,yes,,,,,,,,
0019,A Digital Comparative Edition and Partial Translation of the Shorter Chinese Saṃyukta Āgama (T.100),https://bza.dila.edu.tw,"Project Directiors: Marcus Bingenheimer and Aming Tu 杜正民, Dharma Drum Buddhist College, New Taipei, 2005.",2005,no,yes,,,,,,,,
0020,A Digital Edition of Christopher Pearse Cranch's 'Journal. 1839.',https://www.scholarlyediting.org/2014/editions/intro.cranchjournal.html,"Ed. by Christopher M. Ohge. Berkeley: University of California, 2017.",2014,no,yes,,,,,,,,
0021,"A London Provisioner's Chronicle, 1550–1563, by Henry Machyn: Manuscript, Transcription, and Modernization",http://quod.lib.umich.edu/m/machyn/,"Created by Richard W. Bailey, Marilyn Miller, and Colette Moore. Hosted by MPublishing, a division of the University of Michigan Library. 2006. http://hdl.handle.net/2027/spo.5076866.0001.001.",2006,yes,yes,202,yes,no,yes,Early Modern,ENG,yes,no
0022,A Ráday-család levelezése,http://deba.unideb.hu/deba/raday/,,,yes,no,286,yes,no,yes,Long Nineteenth Century,HUN,yes,no
0023,"A Social Edition of the Devonshire MS (BL Add 17,492)",http://en.wikibooks.org/wiki/The_Devonshire_Manuscript,"Ed. by Ray Siemens and the Devonshire MS editorial group. Victoria (BC): University of Victoria, 2012.",2012,yes,yes,132,yes,no,yes,Early Modern,ENG,not provided,no
0024,A Survey of the Cities of London and Westminster by John Strype,http://www.hrionline.ac.uk/strype/,,,yes,no,26,yes,no,no,Early Modern,ENG,not provided,no
0025,A Tett folyóirat (The Journal „A Tett”),http://digiphil.hu/context:atett,,,yes,no,294,yes,no,no,Modern,HUN,yes,no
0026,A Transnational Literary Network Around 1900: The Correspondence between Laurence Binyon and Olivier-Georges Destrée,https://www.scholarlyediting.org/2016/editions/BinyonDestree.html,"Ed. by Marysa Demoor, Eloise Forestier and Gero Guttzeit. Ghent: Ghent University, 2016.",2016,no,yes,,,,,,,,
0027,A trial electronic edition of the Preface to 'Ancrene Wisse' for the Early English Text Society,http://tei.oucs.ox.ac.uk/Projects/EETS/soton/,,,yes,no,72,yes,no,no,Middle Ages,ENM,not provided,no
0028,"A. C. Chavannes et sa ""Science générale de l'homme"" (1788)",http://lumieres.unil.ch/projets/chavannes,"Ed. by Christian Grosse and Béla Kapossy. Lausanne: Lumières.Lausanne, 2019.",2019,no,yes,,,,,,,,
0029,ABaC:us - Austrian Baroque Corpus,https://acdh.oeaw.ac.at/abacus/,,,yes,no,235,yes,yes,yes,Early Modern,GER,yes,no
0030,Actes royaux,https://web.archive.org/web/20200211090445/http://www.cn-telma.fr/actesroyaux/index/,"Xavier Hélary, Christophe Jacobs (éds). Orléans: Institut de Recherche et d’Histoire des Textes (IRHT) / Traitement électronique des manuscrits et des archives (Telma), 2008.",2008,no,yes,,,,,,,,
0031,Actes Royaux,http://www.cn-telma.fr/actesroyaux/index/,,,yes,no,136,partly,no,no,Middle Ages,LAT,not provided,no
0032,ACTES ROYAUX. Édition numérique des actes des rois de France du Moyen Âge,https://caro.huma-num.fr/,"Direction scientifique: Nicolas Perreaux. Paris: CNRS et l'Université Paris 1 Panthéon-Sorbonne, 2019-2024.",2019,no,yes,,,,,,,,
0033,Adam Wodeham - Editio Critica Electronica Ordinationis Oxoniensis,https://web.archive.org/web/20170610090514/http://adamwodeham.org/text/questions/wodehamordinatio,"Ed. by Olli Hallamma, Jeffrey Witt, John Slotemaker and Severin Kitanov. s.l: 2013.",2013,no,yes,,,,,,,,
0034,Adams Family Papers - An Electronic Archive,http://www.masshist.org/digitaladams/archive/,"Ed. by Nancy Heywood et al. Boston (MA): Massachusetts Historical Society, 2003.",2003,no,yes,,,,,,,,
0035,Adams Papers Digital Edition,https://www.masshist.org/publications/adams-papers/,"Maintained by William Beck, Sara Martin, and Amanda Norton. Boston (MA): Massachusetts Historical Society, 2022.",2022,no,yes,,,,,,,,
0036,"Adriai tengernek syrénája, gróf Zrínyi Miklós",http://magyar-irodalom.elte.hu/gepesk/zrinyi/,,,yes,no,274,no,no,yes,Early Modern,HUN,yes,no
0037,Ahiqar - The Story of Ahiqar in its Syriac and Arabic Tradition,https://ahiqar.uni-goettingen.de,"Hrsg. von Prof. Dr. Reinhard G. Kratz, Dr. Aly Elrefaei, Simon Birol. Göttingen: Theologische Fakultät, Georg-August-Universität / Niedersächsische Staats- und Universitätsbibliothek Göttingen, 2021.",2021,no,yes,,,,,,,,
0038,Akademieprotokolle,https://akademieprotokolle.acdh.oeaw.ac.at/,,,yes,no,350,yes,yes,yes,Long Nineteenth Century,GER,yes,no
0039,Akten der Reichskanzlei. Weimarer Republik,http://www.bundesarchiv.de/aktenreichskanzlei/1919-1933/0000/index.html,"Hg. von der historischen Kommission bei der Bayerischen Akademie der Wissenschaften und dem Bundesarchiv. Koblenz: Bundesarchiv, 2007.",2007,no,yes,,,,,,,,
0040,Alciato's Book of Emblems,http://www.mun.ca/alciato/,,,yes,no,36,no,no,no,Early Modern,LAT,partly,no
0041,Alciato's Book of Emblems: The Memorial Web Edition in Latin and English,https://web.archive.org/web/20221003174128/http://www.mun.ca/alciato/,"Ed. by William Barker, Mark Feltham and Jean Guthrie. St. John's (NL): Memorial University of Newfoundland, 1995-2005.",1995,no,yes,,,,,,,,
0042,Aleksis Kivi: Lea – kriittinen editio,https://editiot.finlit.fi/exist/apps/lea,"Toim. Pentti Paavolainen (päätoimittaja), Sakari Katajamäki, Ossi Kokko, Petri Lauerma, Juhani Niemi ja Jyrki Nummi. Helsinki: Suomalaisen Kirjallisuuden Seura (SKS), 2020.",2020,no,yes,,,,,,,,
0043,Aleksis Kivi: Nummisuutarit. Komedia viidessä näytöksessä. Kriittinen editio. [On-line.],http://elias.finlit.fi/nummisuutarit/,"Nummi, Jyrki (päätoimittaja), Sakari Katajamäki, Ossi Kokko, Petri Lauerma (toim.). Helsinki: Suomalaisen Kirjallisuuden Seura, 2011.",2011,no,yes,,,,,,,,
0044,Aleksis Kivi: Yö ja päivä (= Night and Day) – kriittinen editio,https://editiot.finlit.fi/exist/apps/yo-ja-paiva,"Ed. by Pentti Paavolainen, Sakari Katajamäki, Ossi Kokko, Petri Lauerma, Juhani Niemi, Jyrki Nummi and Kirsi-Maria Nummila. Helsinki: Finnish Literature Society, 2021.",2021,no,yes,,,,,,,,
0045,Alexander von Humboldt - Christian Gottfried Ehrenberg - Briefwechsel,https://edition-humboldt.de/briefe/index.xql?person=H0005875&l=de,"Hg. von Anne Jobst unter Mitarbeit von Eberhard Knobloch. Berlin: Alexander von Humboldt-Forschungsstelle / Berlin-Brandenburgische Akademie der Wissenschaften, s.a. [wohl 2008].",2008,no,yes,,,,,,,,
0046,Alexander von Humboldt Briefedition,http://telota.bbaw.de/AvHBriefedition/index.html,,,yes,no,220,no,no,yes,Long Nineteenth Century,GER,yes,no
0047,Alexander von Humboldt: Sämtliche Schriften digital,https://humboldt.unibe.ch/text,"Hg. von Oliver Lubrich und Thomas Nehrlich. Bern: Universität Bern, 2021.",2021,yes,yes,319,yes,yes,yes,Long Nineteenth Century,GER; FRE; LAT; ENG; SPA; POR; HEB; SWE; DAN; DUT; HUN; RUS; ITA; POL,yes,no
0048,Alfred Escher - Briefedition,http://www.briefedition.alfred-escher.ch/,"Hg. von Joseph Jung. Zürich: Alfred Escher-Stiftung, 2012.",2012,no,yes,,,,,,,,
0049,Aloys Hirt - Briefwechsel und Amtliche Schriften,https://aloys-hirt.bbaw.de/index.xql,"Bearbeitet von Uta Motschmann. Berlin: Berlin-Brandenburgische Akademie der Wissenschaften, 2019.",2019,no,yes,,,,,,,,
0050,"Altfranzösische Urkunden, 1237-1281. Edition der Urkunden Gräfin Ermesindes (1226-1247) und Graf Heinrichs V. (1247-1281) von Luxemburg.",http://www.rmnet.uni-trier.de/cgi-bin/RMnetIndex.tcl?hea=qf&for=qafranzu,"Hg. von Prof. Dr. Günter Holtus, Dr. Anja Overbeck, Dr. Harald Völker. Göttingen/Trier/Tübingen: Georg-August-Universität Göttingen/Universität Trier/Max Niemeyer Verlag, 2003.",2003,no,yes,,,,,,,,
0051,American Verse Project,http://quod.lib.umich.edu/a/amverse/,,,yes,no,137,yes,no,yes,Long Nineteenth Century,ENG,no,no
0052,An Edition of the Welsh Merlin Poetry,https://myrddin.cymru/welcome/,"Principal Investigator: Dylan Foster Evans. Swansea: Swansea University, 2025.",2025,no,yes,,,,,,,,
0053,An Electronic Corpus of 15th Century Castilian Cancionero Manuscripts,https://web.archive.org/web/20210330124301/http://cancionerovirtual.liv.ac.uk/,"Directed by Dorothy Severin. Liverpool: University of Liverpool, 2007.",2007,no,yes,,,,,,,,
0054,An electronic corpus of 15th century Castillian canconiero manuscripts,http://cancionerovirtual.liv.ac.uk/,,,yes,no,99,yes,no,no,Middle Ages,SPA,not provided,no
0055,"An electronic edition of John Strype's ""A SURVEY OF THE CITIES OF London and Westminster""",https://www.dhi.ac.uk/strype/,"Ed. by Julia Merritt. Sheffield: HRIOnline, 2007; ISBN 978-0954260899.",2007,no,yes,,,,,,,,
0056,An Encomium on Henry VIII and Elizabeth I by George Etheridge — British Library Royal MS 16 C X,http://hellenic-institute.uk/research/Etheridge/,"Dir. by Dr Charalambos Dendrinos. London: British Library / Hellenic Institute of Royal Holloway, University of London, 2012-.",2012,no,yes,,,,,,,,
0057,An Uninteresting Detail of a Journey to Rome by Ann Flaxman,https://romantic-circles.org/editions/flaxman,"Ed. by Marie E. McAllister. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2014.",2014,no,yes,,,,,,,,
0058,Ancrene Wisse,https://metseditions.org/editions/rllVXVrvU9e9Ncp3VCwRkwSrmzXDX6kM,"Ed. by Robert Hasenfratz. Kalamazoo: Medieval Institute (Western Michigan University), 2000.",2000,no,yes,,,,,,,,
0059,Ancrene Wisse Preface,http://web.archive.org/web/20070530001208/http://www.tei-c.org.uk/Projects/EETS/,"Ed. by Bella Millett, Glossary by Richard Dance. s.l.: Early English Text Society, 1999-2003.",1999,no,yes,,,,,,,,
0060,Andreas Vesalius: De Humani Corporis Fabrica,https://web.archive.org/web/20220316055318/http://vesalius.northwestern.edu/,"Ed. by Daniel Garrison and Malcolm Hast. Evanston (IL): Northwestern University, 2003.",2003,no,yes,,,,,,,,
0061,Anna Lætitia Aikin: Poems (1773),https://romantic-circles.org/Editions/Publication/anna-letitia-barbauld-letters-lydia-rickards-1798-1815,"Ed. by Lisa Vargo and Allison Muri. College Park (MD): University of Maryland, 2000.",2000,no,yes,,,,,,,,
0062,Anne Frank Manuscripten,https://annefrankmanuscripten.org/,"Peter de Bruijn (ed.), met medewerking van Elli Bleeker en Marielle Scherer. Brussel: Huygens Instituut voor Nederlandse Geschiedenis (KNAW) / Anne Frank Stichting / Vereniging voor Onderzoek en Ontsluiting van Historische Tekste, 2021.",2021,no,yes,,,,,,,,
0063,Anonymus Magister Artium Pragensis: Recommendationes Recommendatio baccalaureorum artium: Invitati ascendant,https://www.dhcluj.ro/digitaleditions/?file=APRIA,"Ed. by Mihai Maga. Cluj-Napoca: Babeș-Bolyai University, 2020.",2020,no,yes,,,,,,,,
0064,Anton Webern Gesamtausgabe: Online-Edition,https://edition.anton-webern.ch/home,"Ediert von Thomas Ahrend. Basel: Musikwissenschaftliches Seminar der Universität Basel, 2020-.",2020,no,yes,,,,,,,,
0065,ApertureScience.com: A Critical Edition,https://scholarlyediting.org/issues/42/aperturescience-com/,"Ed. by Alan Galey, Ellen Forget and Brendan Allen. Toronto: University of Toronto, Virginia: University of Virginia Press, 2025.",2025,no,yes,,,,,,,,
0066,apw - Acta Pacis Westphalicae,http://apw.digitale-sammlungen.de/,"Unter der Leitung von Maximilian Lanzinner. Bayerische Staatsbibliothek: München, 2014.",2014,no,yes,,,,,,,,
0067,"Arkivet, Thorvaldsens Museum",http://arkivet.thorvaldsensmuseum.dk,"Projektleder Ernst Jonas Bencard (til 2019) og Kira Kofoed (fra 2019). København: Thorvaldsens Museum, 2017-.",2017,no,yes,,,,,,,,
0068,Armer Heinrich Digital,http://digi.ub.uni-heidelberg.de/ahd/,"Hg. von Gustavo Fernández Riva und Victor Millet, in Zusammenarbeit mit Jakub Šimek, mit Übersetzungen von Dietmar Peschel. Heidelberg: Universitätsbibliothek, 2018; https://doi.org/10.11588/edition.ahd.",2018,yes,yes,299,yes,yes,yes,Middle Ages,GMH,yes,no
0069,Arnold Schönberg: Briefwechsel mit den Verlagen C. F. Peters und C. F. Peters Corporation,https://www.schoenberg-peters.at,,,yes,no,355,yes,yes,yes,Long Nineteenth Century Modern,GER,yes,no
0070,Arnold Schönberg: Briefwechsel mit den Verlagen Universal-Edition und Dreililien,https://www.schoenberg-ue.at,,,yes,no,354,yes,yes,yes,Long Nineteenth Century Modern,GER,yes,no
0071,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,https://schnitzler-briefe.acdh.oeaw.ac.at,"Hg. Martin Anton Müller, Gerd Hermann Susen, Laura Untner und Selma Jahnke. Wien: Österreichische Akademie der Wissenschaften, 2020-2029.",2020,yes,yes,314,yes,yes,yes,Long Nineteenth Century; Modern,GER,yes,no
0072,Arthur Schnitzler – Chronik. Eine digitale Ressource zu den einzelnen Tagen seines Lebens,https://schnitzler-chronik.acdh.oeaw.ac.at/,,,yes,no,325,yes,yes,yes,Long Nineteenth Century; Modern,GER,yes,no
0073,Arthur Schnitzler digital. Digitale historisch-kritische Edition (Werke 1905 bis 1931),https://www.arthur-schnitzler.de/,"Hg. v. Wolfgang Lukas, Michael Scheffel, Andrew Webber und Judith Beniston in Zusammenarbeit mit Thomas Burch. Wuppertal, Cambridge, Trier 2018–.",2018,no,yes,,,,,,,,
0074,Arthur Schnitzler: Archiv der Zeitungsausschnitte,https://schnitzler-zeitungen.acdh.oeaw.ac.at/,,,yes,no,330,partly,no,yes,Long Nineteenth Century; Modern,GER,yes,no
0075,Arthur Schnitzler: Lektüren. Digitale Edition der Leseliste von Arthur Schnitzler,https://schnitzler-lektueren.acdh.oeaw.ac.at/,"Hg. von Achim Aurnhammer. Wien: Österreichische Akademie der Wissenschaften, Freiburg: Arthur Schnitzler Archiv, 2022.",2022,yes,yes,328,yes,yes,yes,Long Nineteenth Century; Modern,GER,no,no
0076,Arthur Schnitzler: Mikroverfilmung des Cambridger Nachlasses,https://schnitzler-mikrofilme.acdh.oeaw.ac.at/,,,yes,no,346,no,no,yes,Long Nineteenth Century; Modern,GER,yes,no
0077,Arthur Schnitzler: Tagebuch. Digitale Edition,https://schnitzler-tagebuch.acdh.oeaw.ac.at/,"Aufbereitung der digitalen Version von Peter Michael Braunwarth verantwortet. Wien: Österreichische Akademie der Wissenschaften, 2019.",2019,yes,yes,329,yes,yes,yes,Long Nineteenth Century; Modern,GER,no,no
0078,Arxiu Virtual Jaume I - Documents d'època medieval relatius a la Corona d'Aragó,http://www.jaumeprimer.uji.es/,"Vicent Garcia Edo. Castellón de la Plana (Spain): Universitat Jaume I, 2006.",2006,no,yes,,,,,,,,
0079,ASChart Anglo-Saxon Charters,http://www.aschart.kcl.ac.uk/index.html,,,yes,no,205,yes,no,yes,Antiquity; Middle Ages,ANG,yes,no
0080,Athanasius Kircher an Herzog August den Jüngeren. Lateinische Briefe der Jahre 1650-1666,http://diglib.hab.de/edoc/ed000005/start.htm,"Hg. von Thomas Stäcker. Wolfenbüttel: Herzog-August-Bibliothek, 2003.",2003,no,yes,,,,,,,,
0081,Auden Musulin Papers: A Digital Edition of W. H. Auden's Letters to Stella Musulin,https://amp.acdh.oeaw.ac.at,"Principal Investigator: Sandra Mayer. Wien: Österreichische Akademie der Wissenschaften, 2021.",2021,yes,yes,338,yes,yes,yes,Modern; Contemporary,ENG; GER,yes,no
0082,Aufenthaltsorte von Arthur Schnitzler (1879–1931),https://schnitzler-orte.acdh.oeaw.ac.at/,,,yes,no,327,yes,yes,yes,Long Nineteenth Century; Modern,GER,yes,no
0083,August Wilhelm Ifflands dramaturgisches und administratives Archiv,https://iffland.bbaw.de/index.xql,"Hg. v. Klaus Gerlach. Berlin: Berlin-Brandenburgische Akademie der Wissenschaften, 2017.",2017,no,yes,,,,,,,,
0084,Balassi Bálint összes verse (hálózati kritikai kiadás: version 1.0 and 2.0),http://magyar-irodalom.elte.hu/gepesk/bbom/itart.htm,,,yes,no,291,no,no,yes,Early Modern,HUN; LAT; TUR,yes,no
0085,Balassi Bálint összes verse hálózati kritikai kiadás,http://magyar-irodalom.elte.hu/gepesk/bbom/cimlap.htm,"Szerkesztette Horváth Iván és Tóth Tünde. Budapest: Gépeskönyv, 1998; ver. 1.0. 1999; ver.1.1. 2002; ver. 2.0.",1998,no,yes,,,,,,,,
0086,Balkan Slavic Digital Editions,https://www.punco.slavistik.lmu.de/,"Projektleitung: Ivan Šimko. Zürich: Institute of Slavic Studies of the University of Zurich, München: Ludwig-Maxmilians-Universität München, 2024.",2024,no,yes,,,,,,,,
0087,"Bartholomeus Engelsman, Van den Proprieteyten der Dinghen",http://bartholomeusengelsman.huygens.knaw.nl/path/,"Orlanda Lie et al. The Hague: Huygens Instituut, 2009.",2009,no,yes,,,,,,,,
0088,Bases Textuelles de l'Atelier Vincent de Beauvais,http://atilf.atilf.fr/bichard/,"Isabelle Draelants. Nancy: analyse et traitement informatique de la langue Française (atilf), 2004-2014.",2004,no,yes,,,,,,,,
0089,Bayeux-Tapestry Digital Edition,https://www.sd-editions.com/bayeux/online/,"CD-Ausgabe von Martin K. Foys. Woodbridge: Scholarly Digital Editions, 2002; ISBN 978-0953961047.",2002,no,yes,,,,,,,,
0090,Becerro Galicano de San Millán de la Cogolla,http://www.ehu.es/galicano/,"Directed by Francesca Tinti and Juan José Larrea, developed by David Peterson, based on transcriotions by García Andreva. Bilbao: University of the Basque Country, 2013.",2013,no,yes,,,,,,,,
0091,Becerro Galicano of San Millán de la Cogolla,http://www.ehu.es/galicano/?l=en,,,yes,no,14,yes,yes,yes,Middle Ages,LAT,not provided,http://ride.i-d-e.de/issues/issue-2/becerro-galicano/
0092,"Beecher-Stowe, Harriet: Uncle Tom’s Cabin and American Culture",https://utc.iath.virginia.edu,"Directed by Stephen Railton. Charlottesville (VA): University of Virginia, 1998-2009.",1998,no,yes,,,,,,,,
0093,Beethoven-Haus Bonn - Digitales Archiv,https://www.beethoven.de/de/archive,"Hg. vom Beethoven-Haus Bonn, 2004-.",2004,no,yes,,,,,,,,
0094,Beethovens Werkstatt,http://beethovens-werkstatt.de/,,,yes,no,258,yes,yes,yes,Early Modern; Long Nineteenth Century,GER,yes,no
0095,Benito Pérez Galdós: Torquemada en la hoguera. On-Line Edition,https://www.dhi.ac.uk/galdos/index.html,"Ed. by Rhian Davies. Sheffield: Galdos Editions Project / University of Sheffield, 2005; ISBN 978- 095426083X.",2005,no,yes,,,,,,,,
0096,Benjamin Disraeli: Alroy,https://romantic-circles.org/editions/alroy/,"Ed. by Sheila A. Spector. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2005.",2005,no,yes,,,,,,,,
0097,Beowulf on Steorarume (Beowulf in Cyberspace),http://www.heorot.dk/,"Edited by Benjamin Slade. [no institutional context given], 2002-.",2002,no,yes,,,,,,,,
0098,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",http://www.berardier.org/,"Sous la direction de Christof Schöch. Kassel: Universität Kassel, 2010.",2010,yes,yes,9,yes,yes,yes,Early Modern,FRE,no,no
0099,Berichte des Apostolischen Nuntius Cesare Orsenigo aus Deutschland 1930 bis 1939,https://orsenigo-edition.dhi-roma.it/denqOrsenigo/index.php,"Hg. von Thomas Brechenmacher. Rom: Deutsches Historisches Institut in Rom, in Kooperation mit der Kommission für Zeitgeschichte Bonn und dem Archivio Segreto Vaticano, s.a. 2009.",2009,no,yes,,,,,,,,
0100,Bernard Muir's CD-ROM facsimile of Bodleian Library MS Junius 11,http://www.bodleianshop.co.uk/a-digital-facsimile-of-oxford-bodleian-library-ms-junius-11.html,,,yes,no,138,no,no,no,Middle Ages,ANG,not provided,no
0101,Berzsenyi Dániel levelezése,http://deba.unideb.hu/deba/berzsenyi/,,,yes,no,284,yes,no,yes,Long Nineteenth Century,HUN,yes,no
0102,Bess of Hardwick's Letters. The Complete Correspondence c. 1550-1608.,https://www.bessofhardwick.org/home.jsp,"Project lead by Alison Wiggins. Glasgow: University of Glasgow, 2013; Version 1.0; ISBN 978-0-9571022-3-1.",2013,no,yes,,,,,,,,
0103,Biblioteca Digital del Pensamiento Novohispano,http://www.bdpn.unam.mx/,,,yes,no,249,yes,no,no,Early Modern,SPA,yes,no
0104,Bibliotheca Iuris Antiqui (BIA),http://www.ittig.cnr.it,,,yes,no,231,yes,yes,yes,Antiquity,LAT; GRC; ITA; NDS; FRE; SPA; ENG,no,no
0105,Bibliothek der Neologie,http://bdn-edition.de/,"Unter der Leitung von Albrecht Beutel. Münster: Universität Münster, 2016.",2016,no,yes,,,,,,,,
0106,Bichitra: Online Tagore Variorum,http://bichitra.jdvu.ac.in/index.php,"Coordinated by Sukanta Chaudhuri, executed by the School of Cultural Texts and Records. Kolkata: Jadavpur University, 2011-.",2011,no,yes,,,,,,,,
0107,Bliss-Tyler Correspondence,http://www.doaks.org/resources/bliss-tyler-correspondence/,,,yes,no,250,no,no,yes,Long Nineteenth Century; Modern,ENG,yes,no
0108,Blotius Digital: Digitale Edition des Inventars der Wiener Hofbibliothek (1576),https://edition.onb.ac.at/context:blotius,"Hrsg. von Martin Krickl und Katharina Kaska. Wien: Österreichische Nationalbibliothek, 2019-.",2019,no,yes,,,,,,,,
0109,Book of Margery Kempe,http://english.selu.edu/humanitiesonline/kempe/index.php,,,yes,no,103,partly,no,no,Middle Ages,ENM,yes,no
0110,BoschDoc,https://boschdoc.huygens.knaw.nl,"Coordinated by Jos Koldeweij. Nijmegen: Radboud University, 2016.",2016,no,yes,,,,,,,,
0111,Bracton Online. Bracton: De Legibus Et Consuetudinibus Angliæ,http://amesfoundation.law.harvard.edu/Bracton/,Ed. by the Harvard Law School Library. Cambridge (MA): 2003.,2003,no,yes,,,,,,,,
0112,Briefe adeliger Frauen (16.-18. Jh.). Beziehungen und Bezugssysteme,http://www.univie.ac.at/Geschichte/Frauenbriefe/,"Unter der Leitung von Gernot Heiss und Beatrix Bastl. Wien: Institut für Geschichte der Universität Wien, 1999.",1999,no,yes,,,,,,,,
0113,Briefe der Fruchtbringenden Gesellschaft und Beilagen. Die Zeit Fürst Ludwigs von Anhalt-Köthen 1617–1650. 1. Bd.: 1617–1626.,http://diglib.hab.de/edoc/ed000213/start.htm,"Unter Mitarb. v. Dieter Merzbacher hrsg. v. Klaus Conermann. (Die deutsche Akademie des 17. Jahrhunderts: Fruchtbringende Gesellschaft. Reihe I, Abt. A: Köthen, Bd. 1. Wolfenbüttel/ Tübingen 1992.) Wolfenbüttel 2014.",2014,no,yes,,,,,,,,
